Item type|ENTRYTYPE|ID|Author|Title|Journal|quartil|hindex|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN alt|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
Journal Article|article|10|Kahan M,Rock E|The hanging chads of corporate voting|Georgetown Law Journal|Q2|52|2008|96|4|1227-1281|||2008|||0016-8092|||Never has voting been more important in corporate law. With greater activism among shareholders and the shift from plurality to majority voting for directors, the number of close votes is rising. But is the basic technology of corporate voting adequate to the task? In this Article, we first examine the incredibly complicated system of U.S. corporate voting, a complexity that is driven by the underlying custodial-ownership structure, by dispersed ownership and large trading volumes, and by the rise in short-selling and derivatives. We identify three ways in which things predictably go wrong: pathologies of complexity; pathologies of ownership; and pathologies of misalignment of interests. We then discuss the current legal treatment of these pathologies and consider a variety of directions for reform, ranging from incremental modifications to fundamental redesign. We show that, absent a fundamental reconstruction of the ownership structure, the existing system will continue to be noisy, imprecise, and disturbingly opaque. The problems with the existing system pose fundamental challenges for both proponents of direct shareholder democracy, who advocate more-extensive voting rights for shareholders, and for proponents of indirect shareholder democracy, who advocate deference to a board of directors, the legitimacy of which ultimately rests on shareholder elections.||cited By 55|Department of Law, New York University Law School; Department of Law and Business; Institute for Law and Economics, University of Pennsylvania Law School|English|
Journal Article|article|12|Yatim P|Board structures and the establishment of a risk management committee by Malaysian listed firms|Journal of Management and Governance|Q2|57|2010|14|1|17-36|Springer New York||2010|||1385-3457|http://dx.doi.org/10.1007/s10997-009-9089-6|10.1007/s10997-009-9089-6|The purpose of this study is to examine the association between the establishment of a risk management committee and board structures of Malaysian listed firms. The study predicts that more independent, expert, and diligent boards are likely to establish a stand-alone risk management committee. It employs a cross-sectional analysis of 690 firms listed on the Bursa Malaysia for the financial year ending in 2003. Multiple regression analysis is used to estimate the relationships proposed in the hypotheses. The study finds a strong support for an association between the establishment of a risk management committee and strong board structures. Specifically, the result shows that firms with higher proportions of non-executive directors on boards and firms that separate the positions of chief executive officers and board chairs are likely to set up a stand-alone risk management committee. Firms with greater board expertise and board diligence are also likely to establish a risk management committee. These findings suggest that stronger boards demonstrate their commitment to and awareness of improved internal control environment. Finally, the study also documents a positive and significant association between firm size, complexity of a firm's operations, and the use of Big Four audit firms with the establishment of a risk management committee. © Springer Science+Business Media, LLC 2009.||cited By 54|School of Business Management, Faculty of Economics and Business, Universiti Kebangsaan Malaysia, 43600 Bangi Selangor, Malaysia|English|
Journal Article|article|36|Nwogugu M|Towards multi-factor models of decision making and risk: A critique of Prospect Theory and related approaches, part I|Journal of Risk Finance|Q2|40|2005|6|2|150-162|Emerald Group Publishing Ltd.||2005|||1526-5943|http://dx.doi.org/10.1108/15265940510585815|10.1108/15265940510585815|Purpose – To: evaluate Prospect Theory and Cumulative Prospect Theory as functional models of decision making and risk within various contexts; compare and analyze risk models and decision-making models; evaluate models of stock risk developed by Robert Engle and related models; establish whether the models are related and have the same foundations; relate risk, decision making and options theory; and develop the foundations for a new model of decision making and risk named “belief systems”. Design/methodology/approach – Critiques existing academic work in different contexts. Analyzes the shortcomings of various measures of risk, and group decision making, which was not addressed in developing Prospect Theory and Cumulative Prospect Theory. Develops the characteristics of a mew model for decision making and risk named “belief systems”, and then differentiates it from belief networks. Findings – Decision making is a multi-factor, multi-dimensional process that often requires the processing of information, and thus, it is inaccurate to impose rigid models in decision making; the existing metrics for quantifying risk are inadequate; Prospect Theory and Cumulative Prospect Theory were developed using questionable methods and data, and are impractical; the analysis of probabilistic insurance and most of the theories and “effects” developed by Kahneman and Tversky's articles are invalid and impractical; Prospect Theory, Cumulative Prospect Theory, Expected Utility Theory, and market-risk models are conceptually the same and do not account for many facets of risk and decision making; risk and decision making are better quantified and modeled using a mix of situation- specific dynamic, quantitative and qualitative factors; belief systems can better account for the multi-dimensional characteristics of risk and decision making. Research limitations/implications – Areas for further research include: development of dynamic market-risk models that incorporate asset- market psychology, liquidity, market size, frequency of trading, knowledge differences among market participants, and trading rules in each market; and further development of concepts in belief systems. Practical implications – Decision making and risk assessment are multi-criteria processes that typically require some processing of information, and thus cannot be defined accurately by rigid quantitative models; Prospect Theory and Cumulative Prospect Theory are abstract, rigid, and are not practical models for decision making; and existing market-risk models are inaccurate, and thus the international financial system may be compromised. Originality/value – The issues discussed are relevant to government regulators, central banks, judges, risk managers, executives, derivatives regulators, stock exchange regulators, legislators, psychologists, boards of directors, finance professionals, management science/operations research professionals, health-care-informatics professionals, scientists, engineers, and people in any situation that requires decision making and risk assessment. © 2005, © Emerald Group Publishing Limited.||cited By 14|Business Consultant, Brooklyn, New York, NY, United States|English|
Journal Article|article|37|Nwogugu M|Towards multi-factor models of decision making and risk: A critique of Prospect Theory and related approaches, part II|Journal of Risk Finance|Q2|40|2005|6|2|163-173|Emerald Group Publishing Ltd.||2005|||1526-5943|http://dx.doi.org/10.1108/15265940510585824|10.1108/15265940510585824|Purpose – To: evaluate Prospect Theory and Cumulative Prospect Theory as functional models of decision making and risk within various contexts; compare and analyze risk models and decision-making models; evaluate models of stock risk developed by Robert Engle and related models; establish whether the models are related and have the same foundations; relate risk, decision making and options theory; and develop the foundations for a new model of decision making and risk named “belief systems”. Design/methodology/approach – Critiques existing academic work in different contexts. Analyzes the shortcomings of various measures of risk, and group decision making, which was not addressed in developing Prospect Theory and Cumulative Prospect Theory. Develops the characteristics of a mew model for decision making and risk named “belief systems”, and then differentiates it from belief networks. Findings – Decision making is a multi-factor, multi-dimensional process that often requires the processing of information, and thus, it is inaccurate to impose rigid models in decision making; the existing metrics for quantifying risk are inadequate; Prospect Theory and Cumulative Prospect Theory were developed using questionable methods and data, and are impractical; the analysis of probabilistic insurance and most of the theories and “effects” developed by Kahneman and Tversky's articles are invalid and impractical; Prospect Theory, Cumulative Prospect Theory, Expected Utility Theory, and market-risk models are conceptually the same and do not account for many facets of risk and decision making; risk and decision making are better quantified and modeled using a mix of situation- specific dynamic, quantitative and qualitative factors; belief systems can better account for the multi-dimensional characteristics of risk and decision making. Research limitations/implications – Areas for further research include: development of dynamic market-risk models that incorporate asset- market psychology, liquidity, market size, frequency of trading, knowledge differences among market participants, and trading rules in each market; and further development of concepts in belief systems. Practical implications – Decision making and risk assessment are multi-criteria processes that typically require some processing of information, and thus cannot be defined accurately by rigid quantitative models; Prospect Theory and Cumulative Prospect Theory are abstract, rigid, and are not practical models for decision making; and existing market-risk models are inaccurate, and thus the international financial system may be compromised. Originality/value – The issues discussed are relevant to government regulators, central banks, judges, risk managers, executives, derivatives regulators, stock exchange regulators, legislators, psychologists, boards of directors, finance professionals, management science/operations research professionals, health-care-informatics professionals, scientists, engineers, and people in any situation that requires decision making and risk assessment. © 2005, © Emerald Group Publishing Limited.||cited By 12|Business Consultant, Brooklyn, New York, NY, United States|English|
Journal Article|article|39|Berge S,Caldwell W,Mount P|GOVERNANCE OF NINE ONTARIO FOOD CO-OPERATIVES|Annals of Public and Cooperative Economics|Q2|42|2016|87|3|457-474|Wiley-Blackwell Publishing Ltd||2016|||1370-4788|http://dx.doi.org/10.1111/apce.12134|10.1111/apce.12134|Questions on the use of current theories of governance for co-operative businesses are prevalent within the literature. This paper seeks to determine if the theory of cyclical board behavior can provide insight into the evolution of co-operative boards within food co-operatives in Ontario, Canada. To answer these questions managers from food co- operatives participated in a one-hour long, semi- structured interview providing their understanding of the governance within their co-operatives. Managers identified board member engagement, the changing role of the board and succession planning as issues of concern. Engagement level of board members varied from a lack of participation to overbearing participation, which caused tensions within the co-operative. Current governance theories do not appear to adequately explain governance within a co-operative structure. A single, universal governance framework does not address the complexities of a member owned firm. The cyclical board behavior, however, does provide insight into co-operative board evolution. © 2016 The AuthorsAnnals of Public and Cooperative Economics © 2016 CIRIEC||cited By 10|University of Winnipeg, Canada; University of Guelph, Canada; Wilfrid Laurier University, Canada|English|
Journal Article|article|40|Vij M|The emerging importance of risk management and enterprise risk management strategies in the Indian hospitality industry: Senior managements’ perspective|Worldwide Hospitality and Tourism Themes|Q2|28|2019|11|4|392-403|Emerald Group Publishing Ltd.||2019|||1755-4217|http://dx.doi.org/10.1108/WHATT-04-2019-0023|10.1108/WHATT-04-2019-0023|Purpose: The purpose of this paper is to discuss the outlook for risk management and enterprise risk management (ERM) within the hospitality sector including how ERM is being balanced with the need to innovate, and what boards of directors are doing to become more engaged in risk oversight. The implementation of ERM is about taking a strategic view of risk and linking it to business goals and value creation. Design/methodology/approach: An interviewer-administered survey was used to collect data from 33 senior risk professionals and other industry experts who had a clear understanding of both risk management and ERM. A structured and semi- structured questionnaire consisting of three sections was personally administered to 33 respondents in 2018 to collect information from risk professionals and other industry experts. Findings: It is important to create a culture of risk awareness and to incorporate risk planning into business decisions. The complexity of modern business necessitates that managers in the hospitality sector have greater skill levels than ever before. This research should help hospitality managers to better understand the core risks and link them to strategy. ERM creates an environment where the organization as a whole can support the value creation process with a sharper focus on risk management. Practical implications: The growing role of technology along with human connections is shaping the hospitality sector and redefining the travel ecosystem. Future travel experiences are likely to be influenced by a blend of technology and human experiences. Many Indian companies are applying the traditional risk management model in their businesses, while ERM is their future goal. The evolution from a traditional risk management model to ERM is challenging, and so it is important to have an appropriate framework in place for its implementation. Originality/value: Hospitality managers need to know how to proactively manage risk management and ERM as the sector is increasingly vulnerable to internal risks. ERM creates a direct linkage between risks and opportunities required for decision-making in a dynamic environment. With growing competition on a global level, the hospitality industry should aim to manage risks strategically to increase the likelihood that organizational objectives can be achieved. © 2019, Emerald Publishing Limited.||cited By 9|Faculty of Management Studies, University of Delhi, New Delhi, India|English|
Journal Article|article|41|Sanchez-Marin G,Baixauli-Soler JS|TMT pay dispersion and firm performance: The moderating role of organizational governance effectiveness|Journal of Management and Organization|Q2|43|2015|21|4|436-459|Cambridge University Press||2015|||1833-3672|http://dx.doi.org/10.1017/jmo.2014.87|10.1017/jmo.2014.87|This study supports tournament theory in relation to high levels of organizational hierarchies, indicating that the job complexity facing the top management team supposes that pay dispersion positively influences firm performance. Examining a sample of 709 firm-year observations of Spanish listed companies spanning the period 2004-2012, our results indicate that the association between firm performance and top management team pay dispersion is conditional on the effectiveness of corporate governance. High top management team pay dispersion is associated with better performance in owner- controlled firms, where more effective monitoring is exerted by the board of directors. Copyright © Cambridge University Press and Australian and New Zealand Academy of Management 2015.||cited By 9|Department of Management and Finance, University of Murcia, Murcia, Spain|English|
Journal Article|article|46|Lewellyn KB,Muller-Kahle MI|The configurational effects of board monitoring and the institutional environment on CEO compensation: a country-level fuzzy-set analysis|Journal of Management and Governance|Q2|57|2016|20|4|729-757|Springer New York LLC||2016|||1385-3457|http://dx.doi.org/10.1007/s10997-015-9323-3|10.1007/s10997-015-9323-3|This study examines the causal complexity of how the effectiveness of board monitoring influences CEO compensation around the world. Previous research drawing from the managerial power theory and ‘increased career risks’ perspective offer alternative arguments for how low and high levels of effective monitoring by boards of directors influence CEO compensation. Adopting a configurational approach using fuzzy-set qualitative comparative analysis, we explore the idea that there are multiple causal paths leading to high levels of CEO compensation, such that theoretical logic from both theories may be relevant contingent upon the institutional environment in which the relationship is embedded. Our findings in a sample of 38 countries suggest that high CEO compensation is an outcome of both the presence and absence of effective board monitoring depending upon how it combines with minority investor protections and the cultural dimensions of power distance, uncertainty avoidance, and individualism, as well as the overall stock market value. Specifically, in countries with high levels of effective board monitoring, high CEO compensation will be more likely when the country’s culture is high in uncertainty avoidance, low in power distance and when there are strong protections for minority investors. Whereas in countries with low levels of effective board monitoring, high CEO compensation will be more likely when power distance is high and uncertainty avoidance is low and when there are weak protections for minority investors. Our country-level study highlights the theoretical strengths of employing a configurational approach to explore the complex interrelationships of governance mechanisms and the contexts in which they manifest. © 2015, Springer Science+Business Media New York.||cited By 8|College of Business, University of Wyoming, 1000 E. University Ave., Laramie, WY 82071, United States; The Pennsylvania State University, York, 1031 Edgecomb Ave., York, PA 17403-3326, United States|English|
Journal Article|article|48|Clarke T|Dangerous frontiers in corporate governance|Journal of Management and Organization|Q2|43|2014|20|3|268-286|Cambridge University Press||2014|||1833-3672|http://dx.doi.org/10.1017/jmo.2014.37|10.1017/jmo.2014.37|The historical evolution of corporate governance is considered, highlighting the different eras of governance, the dominant theoretical and practical paradigms, the reformulation of paradigms and counter paradigms. Two alternative and sharply contrasting theorizations, one collective and collaborative (the work of Berle and Means), the other individualistic and contractual (agency theory and shareholder value) are focused upon. The explanatory potential of Blair and Stout's team production theory is elaborated, and its conception of the complexity of business enterprise, with a mediating hierarch (the board of directors) securing a balance between the interests of different stakeholders. The potential for reform of corporate purpose, corporate governance and directors' duties is examined with reference to the UK Modern Company Law Review. The impact of the intensification of the financialization of corporations is analysed, with the increased emphasis upon short-termism. The origins of the global financial crisis in shareholder value orientations and the continuing reverberations of the crisis are explored. Finally, the imperative of the advance of sustainable enterprise is argued, and the critical changes necessitated in corporate purpose and directors' duties. Copyright © Cambridge University Press and Australian and New Zealand Academy of Management 2014.||cited By 8|UTS Business School, Centre for Corporate Governance, UTS Sydney, Australia|English|
Journal Article|article|54|Bouffard SC,Boggis P,Monk B,Pereira M,Quan K,Fleming S|Discrete-event simulation modeling unlocks value for the jansen potash project|Interfaces|Q2|69|2018|48|1|45-56|INFORMS Inst.for Operations Res.and the Management Sciences||2018|||0092-2102|http://dx.doi.org/10.1287/inte.2017.0930|10.1287/inte.2017.0930|BHP plans to enter the bulk fertilizer market by developing its first potash operation, the Jansen Potash Mine, in Saskatchewan, Canada. In conjunction with Amec Foster Wheeler, the Jansen project team developed a model of the Jansen production and logistics chain to understand the drivers of production capacity. The Detailed Integrated Capacity Estimate model (DICE) is a comprehensive discrete-event simulation model of Jansen's upstream production (mining, hoisting, and ore processing) and downstream logistics (rail, port, and marketing). DICE provides an unprecedented combination of complexity, granularity, and scalability, which informs ore storage capacities, product sizing infrastructure, critical-equipment redundancies, bypasses, and operational practices. The team used DICE during the prefeasibility study of the Jansen project. The model provided the justification for the removal of about $300 million in capital expenses to equip the second of two hoisting shafts, the reduction of planned maintenance, and the increase of the degree of mining automation. Throughout the prefeasibility study, Jansen's annual production in stage 1 of operations was estimated to increase by 15-20 percent, with two-thirds of this gain credited to DICE. This potential additional production added $500 million to the net present value of Jansen stage 1. In consideration of this, among other factors, the BHP board of directors approved the transition of the Jansen project from a prefeasibility to a feasibility study. © 2018 INFORMS.||cited By 7|BHP, Saskatoon, SK S7K 1L3, Canada; Amec Foster Wheeler, Environment and Infrastructure Division, Burnaby, BC V5C 0E4, Canada|English|
