ENTRYTYPE|ID|Item type|Author|Editors|quartil|hindex|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN alt|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
article|4|Journal Article|Turskis Z,Dzitac S,Stankiuviene A,Šukys R||Q3|39|A fuzzy group decision-making model for determining the most influential persons in the sustainable prevention of accidents in the construction SMEs|International Journal of Computers, Communications and Control|2019|14|1|90-106|Agora University||2019|||1841-9836|http://dx.doi.org/10.15837/ijccc.2019.1.3364|10.15837/ijccc.2019.1.3364|Safety in the sustainable construction is a game with uncertain reality, with human's life. Managers in power, involved in the construction project life cycle, create rules for the game and are the main players. The project's success can be perceived differently by stakeholders. A company's competitiveness, successful implementation of the projects and effective safety management depends on the strategic allocation of its human resources in order to select a proper project team in alignment with employee capabilities. This requires detailed factors reflecting their role (in line with their interests and attitudes) and knowing which of them has a decisive influence on the successful implementation of the project. The real data describing key factors in this concept can be provided as uncertain conditions. This work presents a novel integrated modified fuzzy group decision- making approach to select and rank the most influential persons ensuring the sustainable prevention of accidents at work in the small and medium-sized construction enterprises. This model includes the Delphi method and fuzzy extensions of Eckenrode's criteria rating method. The proposed model could be expanded in order to select the most suitable individuals for sustainable management of safety and, moreover, for the effective implementation of safety and health measures. © 2019.||cited By 40|Faculty of Civil Engineering, Vilnius Gediminas Technical University, Sauletekio al. 11, Vilnius, 10223, Lithuania; University of Oradea, Universitatii, 1, Oradea, 410087, Romania|English|
article|9|Journal Article|Sigh RK,Garg SK,Deshmukh SG||Q3|31|Challeges and strategies for competitiveness of SMEs: A case study in the Indian context|International Journal of Services and Operations Management|2008|4|2|181-200|Inderscience Publishers||2008|||1744-2370|http://dx.doi.org/10.1504/IJSOM.2008.016610|10.1504/IJSOM.2008.016610|Small and Medium Enterprises (SMEs) are considered engines for economic growth, not only in India but all over the world. They account for 80% of global economic growth. Market conditions have dramatically changed for Indian SMEs after economic reforms. SMEs are regularly facing new challenges in terms of cost, quality, delivery, flexibility and human resource development for their survival and growth. In the context of a dynamic market scenario, they have to formulate their strategies for developing various capabilities and competencies to satisfy their domestic as well as global customers. For long-term competitiveness, SMEs have to focus on all aspects of organisational functions such as assets, strategy development, processes and their performance. This study tries to illustrate this concept with the help of a case study. It is observed that to be competitive, SMEs should have clarity of mission and should proactively develop their human resources and competencies to meet fast changing customer requirements. Copyright © 2008 Inderscience Enterprises Ltd.||cited By 32|Mechanical EngineeringDepartment, Delhi College of Engineering, Delhi-110042, India; Mechanical Engineering Department, Indian Institute of Technology, Delhi-110016, India|English|
article|11|Journal Article|Nwaiwu F,Duduci M,Chromjakova F,Otekhile CA||Q3|21|Industry 4.0 concepts within the czech sme manufacturing sector: An empirical assessment of critical success factors|Business: Theory and Practice|2020|21|1|58-70|VGTU||2020|||1648-0627|http://dx.doi.org/10.3846/btp.2020.10712|10.3846/btp.2020.10712|The paper analysed factors that has the most impact in influencing the achievement of a sustainable process management model in the implementation of Industry 4.0 concepts within the Czech SME manufacturing sector. Several factors were identified and their interactions with digital technologies within the production environments was analysed. These factors, from an organisational perspective were identified as critical to success in the quest to achieve Industry 4.0 compliance and digital transformation of the manufacturing operations of companies. They include: strategy, organisational fit, competitiveness, operations and human resources. A mixed methods approach was adopted for the research. It involved both the qualitative and quantitative methodological approaches. The qualitative aspect involved an extensive systematic review of relevant literature which was useful in developing the conceptual framework and identifying the relevant factors that enable the implementation of an efficient Industry 4.0 process management model in SMEs; the quantitative aspect involved the use of a survey questionnaire to collect data which was analysed using confirmatory factor analysis statistical approach to test the measures of the constructs in the proposed conceptual framework. The result from the statistical analysis shows the factors that in the conceptual model that were supported as being relevant in achieving an efficient process management model for successful implementation of Industry 4.0 concepts in Czech manufacturing SMEs. The research limitation is based on the fact that the SMEs covered in the quantitative aspect of the research are restricted to a particular geographical location – Czech Republic. It would be interesting to have similar studies conducted in other geographies for a comparative perspective. It contributes to the scientific and practical discourse on Industry 4.0 process management model implementation in SMEs by investigating the phenomenon through the production of credible scientific evidence. © 2020 The Author(s).||cited By 27|Dept of Industrial Engineering, Faculty of Management and Economics, Tomas Bata University, Zlin, Czech Republic|English|
article|22|Journal Article|Pudjiarti ES,Hutomo PT||Q3|21|Innovative work behaviour: An integrative investigation of person-job fit, person-organization fit, and person-group fit|Business: Theory and Practice|2020|21|1|39-47|VGTU||2020|||1648-0627|http://dx.doi.org/10.3846/btp.2020.9487|10.3846/btp.2020.9487|In relation to the problem of SME productivity, it is necessary to investigate whether there is a problem of mismatch between workers and work and groups and corporate cultural values. This study aims to analyze whether the concept of innovative work behavior can mediate the relationship of person-job fit, person-organization fit and person- group fit to job performance. The study was conducted in the metal SME industry in Tegal Regency, with 256 respondents. Data collection tools use questionnaires and interviews. Data analysis is done with a structural equation model. Based on the results of the analysis, there is a positive relationship between variables. This illustrates that the challenges of SMEs in the future are to maintain the best human resources to remain committed to the organization. In maintaining its existence, alignment of individual values with work, organization and groups is the best tool to achieve goals through innovative changes in employee behavior, and also to lay a solid foundation in the recruitment and selection process of new employees that have the potential to increase job performance. © 2020 The Author(s).||cited By 13|Universitas 17 Agustus 1945, Semarang, Indonesia|English|
article|33|Journal Article|Pollard D,Svarcova J||Q3|44|Promoting knowledge transfer to Czech SMEs: The role of human resource development in increasing absorptive capacity|International Journal of Entrepreneurship and Small Business|2009|8|4|499-515|Inderscience Publishers||2009|||1476-1297|http://dx.doi.org/10.1504/IJESB.2009.025695|10.1504/IJESB.2009.025695|The development of a viable and vibrant Small- and Medium-sized Enterprise (SME) sector has been widely recognised as vital for sustaining the process of economic transformation in East and Central Europe (ECE). Owing to the high rate of change in competitive dynamics within transformation economies, SMEs seek to develop new knowledge themselves or, more likely, transfer, adapt and implement new knowledge obtained from outside sources in order to increase their competitiveness. The effectiveness of identifying and transferring new knowledge and best practice depends to an extent on the level of absorptive capacity of the organisation, which, it can be argued, is strongly related to its inherent level of Human Resource Development (HRD). This paper reports the initial results of a research project which investigates the priorities for HRD in SMEs to enable managers to identify, transfer, assess and implement new knowledge gained through access to external sources. The study identifies significant differences between HRD priorities identified by management and the preferences of employees and potential employees in the form of undergraduate business students. The conclusions indicate that firms should consider the importance of both their own and employees' motivational factors in managing knowledge transfer mechanisms. Copyright © 2009, Inderscience Publishers.||cited By 7|Leeds Metropolitan University, Headingley Campus, Leeds LS6 3QL, United Kingdom; Tomas Bata University in Zlin, Mostni 5139, 760 01 Zlin, Czech Republic|English|
article|36|Journal Article|Moreno Charris AV,Chang Muñoz E,Romero de Cuba J||Q3|13|Labor satisfaction in colombian smes in the textile- clothing sector [Satisfacción laboral en las pyme colombianas del sector textil-confección]|Revista Venezolana de Gerencia|2018|23|82||Universidad del Zulia||2018|||1315-9984|||THe aim of this article is to analyze the satisfaction of the employees of the dressmaking- textile sector exporting SMEs of Barranquilla, Colombia. THe theoretical perspective was mainly oriented from the study made by Robbins and Judge (2009). In this sense, a research based on the quantitative paradigm was developed, with a non- experimental transectional design, for which a census formed by the 19 exporting SMEs of the sector was carried out. THe data was processed by the use of central tendency measures, evidencing that the indicators below the established average are the variety of work, the recognition of performance, safety, permanence, opportunities and relationship with the companions; on the contrary, the indicators referring to salary, structure and labor flexibility, reached the highest levels of satisfaction. It is concluded that the global effects in this sector require the definition of strategies made by Colombian companies, aimed at enhancing job satisfaction, considering human resource as the most important factor in competitiveness. © 2018, Universidad del Zulia. All rights reserved.|clothing industry; competitiveness; human resource; labor; small and medium-sized enterprise; textile industry, Atlantico; Barranquilla; Colombia|cited By 5|Universidad de la Costa CUC, Colombia; Instituto de Investigaciones “Econ, Venezuela|Spanish|
article|39|Journal Article|Todericiu R||Q3|8|The Impact of Intellectual Capital on the SMEs Performance: A Study of the Romanian Central Region SMEs|Studies in Business and Economics|2021|16|1|198-209|Sciendo||2021|||1842-4120|http://dx.doi.org/10.2478/sbe-2021-0016|10.2478/sbe-2021-0016|The 21st century is the century of change and maybe one of the most important changes in the organizations' life is the transition from focusing on the development of the tangible assets to the development of the intangible assets and the interest for attracting human resources capable to generate performance. The survival of many companies depends on their willingness and capacity to adapt to such changes. (Abdulaali, 2018) In this dynamic and complex economic system, the intangible assets of organizations become primary, being decisive for the organizations' performance. In the new economic competition, intangible assets provide a sustainable competitive advantage, intellectual capital and intangible assets representing the key factor in company profitability and success. In the knowledge based society, intellectual capital has more value for organizations than tangible assets and knowledge becomes a permanent source of competitiveness (Bhatti, Zaheer, 2014). It is considered by specialists a valuable and strategic resource, since the success of organizations depends on creating, discovering, storing, disseminating, measuring and developing knowledge. The main objective of the research presented in this paper is to offer an overview on the specific problems and needs of the entrepreneurs financed through the Romania Start-up Plus programme, part of Start-UP Hub: The Entrepreneurs Laboratory Cod SIMS: 105648. A primary target of this research is to examine the components of intellectual capital and the way in which the intellectual capital influences the small business performance. The majority of the researchers agree that intellectual capital is directly connected to the performance of the SMEs sector. The results of our analysis shows the fact that intangible assets influence business development in various ways, such as increasing competitive advantage, expanding employee competency and improving organizational performance. © 2021 Ramona Todericiu, published by Sciendo 2021.||cited By 4|Lucian Blaga University of Sibiu, Romania|English|
article|41|Journal Article|Kozubíková L,Zámečník R,Výstupová L||Q3|29|The perception of human resource risks in the v4 countries [Postrzeganie ryzyka zasobów ludzkich w krajach v4]|Polish Journal of Management Studies|2020|21|2|210-222|Czestochowa University of Technology||2020|||2081-7452|http://dx.doi.org/10.17512/pjms.2020.21.2.15|10.17512/pjms.2020.21.2.15|Human capital is considered to be leading to the growth of innovation and it plays an important role in economic development and firms’ competitiveness. For this reason, the perception of different human resource (HR) risks and establishing a suitable and effective HR risk management system is an up-to-date issue. The aim of this paper is to evaluate the most important sources of HR risks in the V4 countries and to find out the statistically significant differences in the perception of HR risk sources between the V4 countries. To collect the data in the years 2017 and 2018, an online questionnaire was used. To evaluate the intensity of the HR risk sources and to find out the differences between the V4 countries, the methods of Chi-square test and Z-score of P-value were used. The results showed that a high employee turnover rate, insufficient employee qualification, low work morale and discipline are perceived relatively most intensely in Hungary compared to other V4 countries, when “low work morale and discipline” is perceived most intensely out of all four HR risk sources studied. „Employee mistakes” are perceived statistically significantly more intensely in Poland compared to the Czech Republic and Slovakia. © 2020, Czestochowa University of Technology. All rights reserved.||cited By 4|Tomas Bata University in Zlín, Faculty of Management and Economics, Czech Republic|English|
article|50|Journal Article|Giambona GJ,Birchall DW||Q3|14|Collaborative e-learning and ICT tools to develop SME managers: An Italian case|International Journal of Distributed Systems and Technologies|2010|1|3|71-82|IGI Global||2010|||1947-3532|http://dx.doi.org/10.4018/IJDST.2010070105|10.4018/IJDST.2010070105|Small and medium-sized enterprises (SMEs) create a dynamic and successful European economy. Existing skill deficiencies in sales, management and administrative staff are adversely affecting competitiveness in almost a third of those small firms surveyed (Bolden, 2001, 2007). Additionally, attending face-to-face and classroombased development courses is problematic for time-poor SME managers. Thanks to the development of new technologies online learning is becoming commonplace due to wireless and mobile devices, together with the Internet boom, are providing the infrastructure necessary to support the development of new learning forms. Collaborative learning, especially as represented by an action learning approach, would seem ideal for SME managers. But can collaborative learning be adopted as a blanket approach in the case of SME managers? Or should one first take into account the contextual influences on learning, networking and collaboration? Copyright © 2010, IGI Global.|Competition; Curricula; E-learning; Human resource management; Managers; Mobile devices; Teaching, Action learning; Administrative staff; Collaborative e-Learning; Collaborative learning; Contextual factors; European economy; Small and medium-sized enterprise; SMEs, Engineering education|cited By 3|University of Reading, United Kingdom|English|
article|59|Journal Article|Hariastuti NL,Pratikto,Santoso PB,Tama IP||Q3|31|Analyzing the drivers of sustainable value creation, partnership strategies, and their impact on business competitive advantages of small & medium enterprises: A PLS-model|Eastern-European Journal of Enterprise Technologies|2021|2|13-110|55-66|Technology Center||2021|||1729-3774|http://dx.doi.org/10.15587/1729-4061.2021.228864|10.15587/1729-4061.2021.228864|Sustainable manufacturing is a critical phenomenon in the process of creating sustainable value. This is a way to increase innovation and resource quality. On the other hand, the partnership strategy is an important factor in efforts to improve company performance. The involvement of the partnership strategy is one of the factors that strengthen the achievement of sustainable values. Furthermore, this affects the sustainability of a manufacturing company’s competitiveness, including Small and Medium Enterprises (SMEs). In this study, we focus on creating sustainable value and the role of partnership strategies in improving the business performance of SMEs engaged in the metal manufacturing industry. The Partial Least Squares (PLS) approach to Structural Equation Modeling (SEM) is used to evaluate relationships and effects based on survey data from small and medium industries. The results show that the creation of sustainable value, including products, processes, production, equipment, organization, and human values, has a significant impact (β=0.522; ρ<0.001) on increasing the competitiveness of small and medium enterprises. The effect of sustainable value creation on sustainable competitiveness is fully moderated by the partnership strategy (β=0.179; ρ=0.03), especially in the technology & equipment, and human resources. Apart from being a moderating variable, the partnership strategy has also been shown to significantly act as a partial mediating variable (β=0.135; ρ<0.05) for sustainable value creation in enhancing competitiveness. The partnership strategy‘s simultaneous involvement proves that the partnership strategy plays an important role in value creation to increase the competitiveness of sustainable manufacturing SMEs. Copyright © 2021, Authors. This is an open access article under the Creative Commons CC BY license||cited By 1|Department of Industrial Engineering, Adhi Tama Institute of Technology Surabaya, Jl. Arief Rachman Hakim, 100, Sukolilo Surabaya, East Java, 60117, Indonesia; Department of Mechanical Engineering, Brawijaya University, Jl. Mayjend Haryono, 167, Malang, 65145, Indonesia; Departement of Industrial Engineering, Brawijaya University, Jl. Mayjend Haryono, 167, Malang, 65145, Indonesia; Brawijaya University, Jl. Mayjend Haryono, 167, Malang, 65145, Indonesia|English|
