ENTRYTYPE|ID|Item type|Author|Editors|quartil|hindex|Title|Journal|Publication year|Volume|Issue|Pages|Publisher|Address|Date published|ISBN|ISBN alt|ISSN|URLs|DOI|Abstract|Keywords|Notes|Affiliation|Language|Pages cited
article|23|Journal Article|Knezović E,Bušatlić S,Riđić O||Q4|17|Strategic human resource management in small and medium enterprises|International Journal of Human Resources Development and Management|2020|20|2|114-139|Inderscience Publishers||2020|||1465-6612|http://dx.doi.org/10.1504/IJHRDM.2020.106255|10.1504/IJHRDM.2020.106255|Small and medium enterprises (SMEs) are seen as one of the main drivers of economic growth in the modern economy that is characterised with free markets, private ownership, entrepreneurship, and a major change in the basic approach to business and management. As a result, human capital is regarded as the most important asset, and therefore, in order to grow and prosper, SMEs need to embrace the strategic approach to the human resource management (HRM) which should, in return, increase their competitiveness and responsiveness to the market changes. The aim of this study was to analyse the influence of strategic human resource (HR) practices on organisational performance. The results of hierarchical regression used to test the hypothesis supported the relationship between strategic HR practices and business performance. The findings presented in this study were used for making recommendations to the SMEs' managers in the Federation of Bosnia and Herzegovina. Copyright © 2020 Inderscience Enterprises Ltd.||cited By 13|Faculty of Business and Administration, International University of Sarajevo, Bosnia and Herzegovina|English|
article|29|Journal Article|Cuevas-Vargas H,Parga-Montoya N,Estrada S||Q4|18|Incidence of marketing innovation on business performance: An application based on structural equation modeling [Incidencia de la innovación en marketing en el rendimiento empresarial: Una aplicación basada en modelamiento con ecuaciones estructurales]|Estudios Gerenciales|2020|36|154|66-79|Universidad Icesi||2020|||0123-5923|http://dx.doi.org/10.18046/j.estger.2020.154.3475|10.18046/j.estger.2020.154.3475|Small and medium-sized enterprises (SMEs) have developed a marketing capability that differs from the conventional one. Most of the literature has neglected marketing innovation, because it is considered an accident or implicit in other types of activities, and only recently it has been associated with competitiveness. The aim of this research was to verify the relationship of marketing innovation with the integral performance of SMEs, and their possible implications. Through the structural equations modeling, the effects of this innovation on business performance were estimated. The findings revealed its significant influence to guide business performance, by implementing new concepts and means of promotion, new methods of commercialization, and modifications to its packaging, influencing mostly in the commercial part, but also affecting the administrative, financial and human resources scope. © 2020 Universidad ICESI.||cited By 7|Departamento de Innovación de Negocios y Mercadotecnia, Universidad Tecnológica del Suroeste de Guanajuato, Valle de Santiago, Mexico; Departamento de Agronegocios, Universidad Autónoma de Aguascalientes, Aguascalientes, Mexico; Departamento de Finanzas y Administración, Universidad de Guanajuato, Celaya, Mexico|Spanish|
article|45|Journal Article|Buěk M||Q4|19|Regional integration of the Slovak republic: A strategy of the European Union support utilization [Reglonálna integrácia Slovenskej republiky: Stratégla využitla podpory Európskej únle]|Ekonomicky casopis|2003|51|8|982-996|Slovak Academic Press Ltd||2003|||0013-3035|||"The socio-economic dimensions of disparities, the long duration of regional equalisation processes and its political sensitivity require regional policy to become one of the core policies of the government. The second pillar of its successfulness is active participation of regional and local self- governments. In this article, we recommend to realise a growth-equalising strategy for the Slovak conditions after the SR accession. The growth- equalising strategy of regional policy should in our conditions: • Support and keep in growth the regional centres (developed agglomerations) that are decisive carriers of national-economy growth and create not only development resources in the Slovak economy but also a pro-growth environment for the equalisation of regions lagging behind; this part of the overall strategy is called growth-equalising strategy focusing on regional centres of national- economy growth (developed regions). These urban agglomerations are concerned: Bratislava - Trnava, Trenčín, Žilina - Martin, Poprad, Košice - Prešov and Banská Bystrica - Zvolen and the region of the city of Nitra. • Remove negative consequences of production decrement and adaptation to the new market conditions in the regions lagging behind, together with the support of localisation, revitalisation of the regions with deformed demographic and professional structure (the threat of social and economic degradation and marginalisation). This part of the overall strategy is called growth-equalising strategy focusing on regional centres in regions lagging behind. Urban centres must be the carriers of development also in such regions. In NUTS II. Western Slovakia the development of agglomeration Nové Zámky - Komárno is concerned, in the region of Central Slovakia - the development of the towns of Lučenec - Rimavská Sobota and in the East Slovakia region the development of the agglomeration Humenné - Vranov. • Both parts of the overall strategy should be implemented with a non-scattered concentrating model. The practice of regional development proved sufficiently that dispersing of funds, ""strewing"" an area with investments is a short term solution failing to provide long term changes of regional structures. In order to pursue effective use of national resources and, in particular, resources from the EU structural funds, the assumption that in the first after-accession stage (approximately 10 - 12 years) these funds will be absorbed by those cities and agglo-meration that dispose of decisive localisation advantages even today, is realistic. Preferring the growth-equalising strategy in its proposed concentrating form in the first stage after EU accession does not mean that the smaller regions out of the reach of the agglomeration development effects shall be excluded from the support. In terms of competitiveness changes till the year 2010, human resources, foreign direct investments, innovations, small and medium sized enterprises (SMEs) and infrastructure, are analysed. According to model calculations the consequences of individual policies shall result until 2010, depending on the selected scenario, in changes in the competitiveness of the regions and GDP per capita development following the individual NUTS II and Slovak regions. Slovakia would approach 72.7 per cent of the EU 25 average forecast for 2010 (currently it is around 53 per cent). With the exception of the region of Bratislava (164.7 per cent) and partly the region of Trnava (74.3 per cent), Slovak regions would achieve values under 75 per cent of EU 25 GDP per capita. The knowledge gained by developed and also cohesion countries, however, shows that mostly the developed scope of regional institutions (including on the one hand institutions necessary for the functioning of the support mechanism and on the other hand institutions supporting transfer of technology and innovation, improving qualification, etc.) can, in particular, affect significantly the sustainability and triggering of regionnal growth. Particularly, the necessity to develop capacities needed for EU membership rises in the pre-accession period. This has resulted from the evaluation of the current situation of the Slovak public administration and ensuring the equalisation of the difference between this situation and the situation required from all EU Member States - existing as well as the new ones. With respect to Slovakia's interest to achieve EU membership in the year 2004 the building of effective and capable capacities for membership is a strategic priority."|economic growth; economic integration; European Union; regional economy, Central Europe; Eurasia; Europe; Slovakia|cited By 4|Ekon. univerzita v Bratislave, Narodohospodárska fakulta, Katedra reg. rozvoja geografie, Dolnozemská cesta 1, Bratislava 5 852 35, Slovakia|Slovak|
article|49|Journal Article|Casalino N,De Marco M,Rossignoli C|Howlett R.J. Uskov V.L JL|Q4|31|Extensiveness of manufacturing and organizational processes: An empirical study on workers employed in the European SMEs|Smart Innovation, Systems and Technologies|2015|41||469-479|Springer Science and Business Media Deutschland GmbH||2015|||2190-3018|http://dx.doi.org/10.1007/978-3-319-19875-0_42|10.1007/978-3-319-19875-0_42|To enhance the competitiveness and the turnover of businesses in the fast-paced world of today means adopting the emerging Automation & Robotics (A&R) equipment that, in turn, require the upskilling and training of employees to enable effective implementation of the business processes. This poses a significant challenge to manufacturing Small and Medium Enterprises (SMEs), which often lack the funds and human resources to invest in staff training, and translates into a distinct need to provide comprehensive A&R upskilling and training programs in the form of smart learning solutions designed to enable SME personnel to pursue their training goals in a flexible, customizable and easy- to-access way. The paper sheds light on the perceived upskilling requirements of SME workers and the broad scope of A&R systems training materials developed by the innovative methodology of ARIALE smart learning system. © Springer International Publishing Switzerland 2015.|Competition; E-learning; Engineering education; Industrial economics; Innovation; Manufacture; Robotics, Competitiveness; Empirical studies; Innovative methodologies; Managerial skills; Organizational process; Small and medium enterprise; Systems trainings; Training program, Personnel training|cited By 3; Conference of 2nd International KES Conference on Smart Education and Smart e-Learning, SEEL 2015 ; Conference Date: 17 June 2015 Through 19 June 2015; Conference Code:157689|Università Degli Studi Guglielmo Marconi, Rome, Italy; Università Telematica Internazionale Uninettuno, Rome, Italy; Università Di Verona, Verona, Italy|English|
article|54|Journal Article|Ndou V,Del Vecchio P,Schina L||Q4|62|Designing digital marketplaces for competitiveness of SMEs in developing countries|Communications in Computer and Information Science|2011|130 CCIS||82-93||Milan|2011|||1865-0929|http://dx.doi.org/10.1007/978-3-642-20077-9_6|10.1007/978-3-642-20077-9_6|We examine the importance and the role that digital marketplaces play for SMEs in developing countries. By building on the literature of digital marketplace and business models we argue that the features of the context shape the type of the business models applicable for digital marketplaces. We suggest that before designing a digital marketplace initiative it is necessary to undertake a context assessment that ensures a better understanding of the firms' preparedness to the usage of this kind of platforms in terms of technological infrastructure, human resources' capabilities and skills, integration and innovation level among firms. It is essential to start with feasible initiatives and build up steadily the qualifications necessary for facing hindrances. However, starting at the right point and in the right way doesn't automatically guarantee success and competitive advantage of SMEs, but can represent a way to start admitting the fundamental role of the innovation in a high complex environment. © 2011 Springer-Verlag Berlin Heidelberg.|Business models; Competitive advantage; Complex environments; Digital marketplace; SMEs; Technological infrastructure, Competition; Developing countries; Electronic commerce, Industry|cited By 2; Conference of 6th International Joint Conference on e-Business and Telecommunications, ICETE 2009 ; Conference Date: 7 July 2009 Through 10 July 2009; Conference Code:94936|University of Salento, via Monteroni, s.n., 73100, Lecce, Italy|English|
article|76|Journal Article|Rodríguez-Ríos CY,Narváez AC,Jiménez SC||Q4|62|Application of the CERT Values Measurement Model for Organizational Culture in the Management and Quality Company|Communications in Computer and Information Science|2021|1431 CCIS||399-408|Springer Science and Business Media Deutschland GmbH||2021|||1865-0929|http://dx.doi.org/10.1007/978-3-030-86702-7_34|10.1007/978-3-030-86702-7_34|At present, it has been shown that very few SMEs have knowledge of the Business Process Management BPM system, which offers a series of strategies and benefits oriented towards processes, using technology systems in terms of information management, evaluating the organizational culture and covering all the operational and business processes of the organization, in order to increase productivity and competitiveness, guaranteeing continuous improvement of internal processes following their life cycle, where they are documented, analyzed, improved, are implemented, and are monitored and controlled. In this study, the BPM culture of an information technology SME, called Management and Quality, was evaluated based on the study carried out by Jan Vom Brocke, in which 4 values are established, which are: customer orientation, excellence, responsibility, and teamwork, called CERT values, the survey adapted to the context of the company and Colombia was applied; As a result, opportunities for improvement in excellence were found represented by the dimensions of continuous improvement and innovation, and in the formal structures, dimension of teamwork, recommendations were made for these findings. © 2021, Springer Nature Switzerland AG.|Administrative data processing; Human resource management; Information management; Life cycle; Quality control, Business process management; Business process management culture; Business process management systems; CERT value; Continuous improvements; Management culture; Measurement model; Organizational cultures; Technology system; Value measurements, Competition|cited By 0; Conference of 8th Workshop on Engineering Applications, WEA 2021 ; Conference Date: 6 October 2021 Through 8 October 2021; Conference Code:266199|Colombian School of Engineering Julio Garavito, Bogotá, Colombia|English|
article|81|Journal Article|Khoryanton A,Pratikto,Suparman S,Santoso PB||Q4|24|Development of business model in SMEs of ship component to improve competitiveness|Quality - Access to Success|2020|21|176|27-32|SRAC - Romanian Society for Quality||2020|||1582-2559|||The purpose of this study is to provide an overview of SMEs of Ship Component's current business model, describing Strengths, Weaknesses, Opportunities, and Threats based on the canvas business model and providing input on corrective action for the company. The research method is done with the business model approach of canvas, benchmarking analysis and SWOT analysis to form an alternative strategy. The result of this research is the improvement of the business model on nine elements of the Business Model Canvas and there are seven main improvement programs for the company as follows: Establishing new customer segmentation, cooperation with Indonesia Ship Components Industry Association, business partner and supplier of raw materials, forming subsection of research and development as well as recruiting potential human resources. © 2020, SRAC - Romanian Society for Quality. All rights reserved.||cited By 0|Brawijaya University, Malang, Indonesia; Department of Mechanical Engineering, Politeknik Negeri Semarang, Indonesia; Mechanical Engineering Department, Faculty of Engineering, Universitas Brawijaya, Malang, Indonesia|English|
article|91|Journal Article|Březinová M,Vrchota J||Q4|22|Selected processes in smes, targeting to south bohemia region and trade sector|Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis|2016|64|2|589-594|Mendel University of Agriculture and Forestry Brno||2016|||1211-8516|http://dx.doi.org/10.11118/actaun201664020589|10.11118/actaun201664020589|Process management plays an important role in making up the competitiveness of small and medium-sized enterprises. This issue is researched in the long term at the Economic University of South Bohemia. The paper presents a comparison of trends in the average level of functioning of core processes (selling, human resources, marketing and finance) in the South Bohemian Region MSP for 3 years in the sector of trade. The first data was obtained under the grant GAJU 068/2010/S in 2010, and the second group of data was obtained from the grant GAJU 039/2013/S and GAJU 079/2013/S in 2013. From all the chosen processes within the research sample, significant changes can be shown only in the processes of human resources management and production where improvement of functioning of the processes was achieved. In the research project were used secondary data (financial statements of SMEs, who took part in the research and primary data which were obtained primarily through quantitative methods questionnaire supplemented by qualitative method of in-depth interviews.||cited By 0|Department of Landscape Management, Faculty of Agriculture, University of South Bohemia in České Budějovice, Branišovská 1645/31a, České Budějovice, 370 05, Czech Republic; Department of Management, Faculty of Economic, University of South Bohemia in České Budějovice, Studentská 13, České Budějovice, Czech Republic|English|
article|92|Journal Article|Bernal García JJ,Hontoria Hernández E,Aleksovski D||Q4|5|El problema del viajante de comercio: Búsqueda de soluciones y herramientas asequibles|Recta|2015|16|2|117-133|ASEPUMA||2015|||1575-605X|||High levels of global competitiveness have reduced Small and Medium Size Enterprises' (SMEs) profits' margins and have forced them to search for new management tools. On the other hand, due to their reduced both human resources and computing structures make for them easy and free applications very wellcome. This research work will search the scientific side of the Travelling Salesman Problem (TSP) for its practical application with both real distances and times to the SMEs environment. The programming development through Solver by Excel will be shown in open source and its robustness to deal with the size of the problem dimension will be analysed.||cited By 0|Universidad Politécnica de Cartagena (UPCT), Métodos Cuantitativos e Informáticos, C/Real 3, Cartagena, 30201, Spain; Universidad Politécnica de Cartagena, Organización de Empresas Escuela, Técnica Superior de Ingenieros Industriales, Cartagena, 30202, Spain; Jožef Stefan Institute, Knowledge Technologies Department, Ljubljana, 1000, Slovenia|Spanish|
article|98|Journal Article|Lorza AF,Ortega AM,Alvarado PA||Q4|18|Fundamentals of a competency-based human resource management system that supports the organizational strategy of a medium-sized company in the graphic arts industry in Cali (Colombia) [Fundamentos de um sistema de gestão humana por competências para apoiar a estratégia organizacional de uma pequema e média empresa do setor da indústria de artes gráficas em Cali (Colômbia)] [Fundamentos de un sistema de gestión humana por competencias para soportar la estrategia organizacional en una pyme del sector de la industria de las artes gráficas en Cali (Colombia)]|Estudios Gerenciales|2012|28|122|121-138|Universidad Icesi||2012|||0123-5923|http://dx.doi.org/10.1016/S0123-5923(12)70197-3|10.1016/S0123-5923(12)70197-3|Competitiveness is a key factor for improving the socioeconomic status of organizations. Consequently, there is a need to align human resources with company strategies. The objective of this research was to develop the foundations of a competency-based human management system that supports the organizational strategy of a medium-sized company in the graphic arts industry in Cali, Colombia. To this end, a qualitative and descriptive study was carried out which involved analyzing the company strategies using Beer’s (2001) analytical model, establishing and defining organizational competencies of critical positions to accomplish the strategy, and providing the design guidelines for human resource management subsystems. © Estudios Gerenciales. All rights reserved.||cited By 0|Universidad Icesi, Colombia; Analista de Gestión Humana; Jefe de Gestión Humana|Spanish|
